                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    132,                0.06189,                0.12839,                0.93185,                      1,                      1,                  0.995,                0.97548,                0.11488,                0.17076,                0.83523,             2.4339e-05,             2.4339e-05,             2.4339e-05
                    133,                0.06124,                0.12791,                 0.9271,                      1,                      1,                  0.995,                0.97476,                0.11593,                0.17279,                0.83442,              2.238e-05,              2.238e-05,              2.238e-05
                    134,                0.06189,                0.12704,                0.93042,                      1,                      1,                  0.995,                0.97577,                0.11904,                0.17431,                0.83461,             2.0523e-05,             2.0523e-05,             2.0523e-05
                    135,                0.06241,                0.12721,                0.92556,                      1,                      1,                  0.995,                0.97593,                0.11948,                0.17497,                0.83433,             1.8767e-05,             1.8767e-05,             1.8767e-05
                    136,                0.06207,                0.12737,                0.92423,                      1,                      1,                  0.995,                0.97522,                0.11989,                0.17587,                0.83385,             1.7114e-05,             1.7114e-05,             1.7114e-05
                    137,                0.06352,                0.12789,                0.92535,                      1,                      1,                  0.995,                0.97454,                0.12114,                0.17412,                0.83327,             1.5563e-05,             1.5563e-05,             1.5563e-05
                    138,                 0.0661,                0.12773,                0.92742,                      1,                      1,                  0.995,                0.97364,                0.12543,                 0.1742,                0.83517,             1.4117e-05,             1.4117e-05,             1.4117e-05
                    139,                0.06123,                0.12315,                0.91985,                      1,                      1,                  0.995,                0.97438,                0.12872,                0.17461,                0.83657,             1.2776e-05,             1.2776e-05,             1.2776e-05
                    140,                0.06289,                0.12491,                0.92487,                      1,                      1,                  0.995,                0.97318,                0.13024,                0.17273,                0.83723,             1.1539e-05,             1.1539e-05,             1.1539e-05
                    141,                0.06707,                0.12654,                0.92566,                      1,                      1,                  0.995,                0.97318,                 0.1351,                0.17215,                0.83998,             1.0408e-05,             1.0408e-05,             1.0408e-05
                    142,                0.06547,                0.12534,                0.92655,                      1,                      1,                  0.995,                0.97378,                0.12845,                0.17097,                0.83411,             9.3839e-06,             9.3839e-06,             9.3839e-06
                    143,                 0.0661,                0.12512,                0.92398,                      1,                      1,                  0.995,                0.97639,                0.12541,                 0.1701,                0.83245,              8.466e-06,              8.466e-06,              8.466e-06
                    144,                0.06603,                0.12553,                0.92259,                      1,                      1,                  0.995,                0.97624,                0.12675,                0.17033,                0.83387,             7.6551e-06,             7.6551e-06,             7.6551e-06
                    145,                0.06659,                0.12387,                0.92626,                      1,                      1,                  0.995,                 0.9755,                0.12729,                 0.1698,                0.83387,             6.9516e-06,             6.9516e-06,             6.9516e-06
                    146,                0.06796,                0.12556,                0.92198,                      1,                      1,                  0.995,                0.97525,                0.13182,                0.17116,                0.83508,             6.3558e-06,             6.3558e-06,             6.3558e-06
                    147,                0.06937,                0.12601,                0.92705,                      1,                      1,                  0.995,                0.97531,                0.13251,                0.17063,                0.83439,              5.868e-06,              5.868e-06,              5.868e-06
                    148,                0.06696,                0.12403,                 0.9262,                      1,                      1,                  0.995,                0.97424,                0.13498,                 0.1697,                0.83459,             5.4884e-06,             5.4884e-06,             5.4884e-06
                    149,                0.06818,                0.12439,                0.92205,                      1,                      1,                  0.995,                0.97555,                0.13826,                0.16937,                0.83562,             5.2171e-06,             5.2171e-06,             5.2171e-06
                    150,                0.07153,                0.12492,                0.92276,                      1,                      1,                  0.995,                0.97468,                0.14134,                0.17047,                0.83686,             5.0543e-06,             5.0543e-06,             5.0543e-06
